Name,"Short Name"
"Age of Asgard",age_of_asgard
"Mission Cash",mission_cash
"Banana Rock",banana_rock
"Emperor's Gold",emperors_gold
"Fruit vs Candy",fruit_vs_candy
"Lucky Star",lucky_star
"South Park Reel Chaos",south_park_reel_chaos
"Wins of Fortune",wins_of_fortune
"Book of Dead",book_of_dead
"Battlestar Galactica",battlestar_galactica
"The Legend of Shangri-La: Cluster Pays",the_legend_of_shangri_la_cluster_pays
"Cats and Cash",cats_and_cash
"Miss Midas",miss_midas
Platooners,platooners
Pimped,pimped
"King Vegas",king_vegas
"Relic Raiders",relic_raiders
"Jackpot Jester 50000",jackpot_jester_50000
"King of Slots",king_of_slots
"Hunter's Inn",hunters_inn
"Crusade of Fortune",crusade_of_fortune
"Dragon Island",dragon_island
"Leprechaun goes Egypt",leprechaun_goes_egypt
Jumanji,jumanji
"Pollen Party",pollen_party
"Gem Drop",gem_drop
Luchadora,luchadora
"Raging Rhino",raging_rhino
"Midnight Madness",midnight_madness
Owls,owls
"Crazy Crocs",crazy_crocs
"Hot City",hot_city
"Alaskan Fishing",alaskan_fishing
"DJ Wild",dj_wild
"Wild Toro",wild_toro
"Foxin Wins",foxin_wins
"Afterlife Inferno",afterlife_inferno
Starblast,starblast
"Finn and the Swirly Spin",finn_and_the_swirly_spin
"Gem Rocks",gem_rocks
"Reel Gems",reel_gems
Invaders,invaders
"Barbary Coast",barbary_coast
"Royal Frog",royal_frog
Trolls,trolls
"Tiki Mania",tiki_mania
Excalibur,excalibur
"300 Shields",300_shields
"Game of Thrones",game_of_thrones
"Genie Wild",genie_wild
"Sam on the Beach",sam_on_the_beach
"Dark Joker Rizes",dark_joker_rizes
"Funky Seventies",funky_seventies
Bigfoot,bigfoot
Evolution,evolution
"Madder Scientist",madder_scientist
"Castle Builder",castle_builder
Dogfather,dogfather
"Spinata Grande",spinata_grande
"Ooh Aah Dracula",ooh_aah_dracula
"Wild Spartans",wild_spartans
"Mississippi Queen",mississippi_queen
"Fa-Fa Twins",fa_fa_twins
"Stage 888",stage_888
"Well of Wonders",well_of_wonders
Hitman,hitman
"Merlin's Magic Respins",merlins_magic_respins
"Lucky Firecracker",lucky_firecracker
"Dead or Alive",dead_or_alive
Cleopatra,cleopatra
"Peek a Boo",peek_a_boo
"Lucky 8 Line",lucky_8_line
"Wonky Wabbits",wonky_wabbits
"Ozzy Osbourne",ozzy_osbourne
"Golden Shamrock",golden_shamrock
"Turning Totems",turning_totems
"Caishen's Gold",caishens_gold
"Tomb Raider 2",tomb_raider_2
"Mystery Joker",mystery_joker
Lights,lights
Birthday!,birthday
Ariana,ariana
"Wild Orient",wild_orient
"Dragon's Luck",dragons_luck
"Leprechaun Goes to Hell",leprechaun_goes_to_hell
"Toki Time",toki_time
"Mystery Reels Power Reels",mystery_reels_power_reels
"Wild Turkey",wild_turkey
"Bar Bar Black Sheep",bar_bar_black_sheep
"5 Knights",5_knights
"South Park",south_park
"Diamond 7s",diamond_7s
"Kings of Chicago",kings_of_chicago
"Cops and Robbers",cops_and_robbers
"Mega Fortune Dreams",mega_fortune_dreams
"Blackjack Bonanza",blackjack_bonanza
"Lucky Little Devil",lucky_little_devil
"Out Of This World",out_of_this_world
Vikings,vikings
"Casino Island",casino_island
"Double Dose",double_dose
"Action Bank",action_bank
"Bundle in the Jungle",bundle_in_the_jungle
"Wish Master",wishmaster
"Totem Lightning",totem_lightning
"Fruit Snap",fruit_snap
"Fortune Teller",fortune_teller
"What on Earth",what_on_earth
Bonanza,bonanza
"Ghost Pirates",ghost_pirates
"City of Gold",city_of_gold
"Jade Magician",jade_magician
"Dark Vortex",dark_vortex
"So Much Candy",so_much_candy
"Steam Tower",steam_tower
"Extra Cash!!",extra_cash
"Turn Your Fortune",turn_your_fortune
"Sticky Bandits",sticky_bandits
Cashanova,cashanova
"Dwarfs Gone Wild",dwarfs_gone_wild
"Zombie Queen",zombie_queen
"Arabian Nights",arabian_nights
"Reel Heist",reel_heist
